VEHICLE_ID,EVENT_NO_TRIP,EVENT_NO_STOP,ACT_TIME,GPS_LATITUDE,GPS_LONGITUDE,METERS,OPD_DATE,GPS_SATELLITES,GPS_HDOP
3232,244351552,244351553,53887,45.576518,-122.730165,237148,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351553,53922,45.576785,-122.728572,237356,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351553,53877,45.576155,-122.729235,237067,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351625,57655,45.436492,-122.653197,258975,24JAN2023:00:00:00,11.0,0.7
3232,244351552,244351626,57695,45.430527,-122.656197,259673,24JAN2023:00:00:00,12.0,0.9
3232,244351668,244351710,62018,45.46763,-122.670228,288535,24JAN2023:00:00:00,11.0,0.9
3232,244351772,244351822,68459,45.495235,-122.671987,321701,24JAN2023:00:00:00,11.0,0.7
3232,244351772,244351826,68609,45.48596,-122.675595,322814,24JAN2023:00:00:00,12.0,0.7
3232,244351772,244351827,68654,45.4842,-122.674832,323016,24JAN2023:00:00:00,12.0,0.8
3232,244351772,244351830,68812,45.473595,-122.671653,324200,24JAN2023:00:00:00,12.0,0.7
3232,244351872,244351873,72339,45.366047,-122.599535,342342,24JAN2023:00:00:00,12.0,0.9
3232,244351872,244351874,72444,45.366022,-122.61286,343570,24JAN2023:00:00:00,12.0,0.7
3232,244351872,244351929,74472,45.510497,-122.68067,363220,24JAN2023:00:00:00,12.0,1.7
3232,244351978,244351980,77065,45.569892,-122.685593,379879,24JAN2023:00:00:00,12.0,0.7
3232,244351226,244351289,38634,45.511793,-122.6826,154691,24JAN2023:00:00:00,12.0,0.9
3232,244351334,244351441,46854,45.364317,-122.610968,199930,24JAN2023:00:00:00,10.0,1.0
3232,244351448,244351494,50067,45.484182,-122.674637,220756,24JAN2023:00:00:00,12.0,0.9
3232,244351448,244351500,50362,45.503808,-122.678165,223186,24JAN2023:00:00:00,12.0,0.8
3232,244351448,244351501,50427,45.506612,-122.678663,223526,24JAN2023:00:00:00,11.0,1.2
3232,244351552,244351565,54212,45.584005,-122.707257,239500,24JAN2023:00:00:00,12.0,0.7
3232,244351552,244351569,54343,45.582572,-122.697222,240425,24JAN2023:00:00:00,12.0,0.8
3232,244351552,244351575,54561,45.570602,-122.69557,241852,24JAN2023:00:00:00,12.0,0.7
3232,244351552,244351638,58220,45.406808,-122.660078,263394,24JAN2023:00:00:00,12.0,0.7
3232,244350890,244350895,15537,45.528388,-122.839565,2827,24JAN2023:00:00:00,11.0,0.8
3232,244351552,244351562,54122,45.584028,-122.713853,238993,24JAN2023:00:00:00,12.0,0.7
3232,244350890,244350895,15597,45.528892,-122.833735,3511,24JAN2023:00:00:00,11.0,0.8
3232,244350890,244350896,15787,45.508145,-122.777953,8408,24JAN2023:00:00:00,11.0,0.8
3232,244350911,244350934,18963,45.576512,-122.695472,32115,24JAN2023:00:00:00,12.0,0.7
3232,244350911,244350936,19068,45.568042,-122.695592,33048,24JAN2023:00:00:00,12.0,0.7
3232,244350911,244350997,21835,45.396137,-122.651257,55731,24JAN2023:00:00:00,12.0,0.7
3232,244351018,244351084,28291,45.533917,-122.672627,88374,24JAN2023:00:00:00,11.0,0.8
3232,244351448,244351504,50678,45.510407,-122.680303,224068,24JAN2023:00:00:00,11.0,1.8
3232,244351448,244351507,50873,45.513947,-122.681335,224618,24JAN2023:00:00:00,12.0,0.9
3232,244351448,244351516,51442,45.524477,-122.676442,225840,24JAN2023:00:00:00,12.0,1.0
3232,244351448,244351518,51548,45.525295,-122.67166,226280,24JAN2023:00:00:00,11.0,1.1
3232,244351552,244351584,55055,45.532862,-122.671925,246712,24JAN2023:00:00:00,10.0,0.8
3232,244351552,244351586,55130,45.528775,-122.667183,247305,24JAN2023:00:00:00,12.0,0.7
3232,244351668,244351722,62597,45.504608,-122.67869,292959,24JAN2023:00:00:00,12.0,0.8
3232,244351668,244351730,63232,45.517573,-122.679468,294689,24JAN2023:00:00:00,10.0,1.2
3232,244351772,244351782,66425,45.584093,-122.715618,308511,24JAN2023:00:00:00,12.0,0.8
3232,244351872,244351944,75622,45.52995,-122.666907,366230,24JAN2023:00:00:00,12.0,1.0
3232,244351872,244351948,75847,45.550002,-122.687462,369163,24JAN2023:00:00:00,12.0,0.9
3232,244351872,244351948,75897,45.5561,-122.692797,369957,24JAN2023:00:00:00,12.0,0.7
3232,244351018,244351101,28981,45.58405,-122.700335,94919,24JAN2023:00:00:00,12.0,0.7
3232,244351018,244351103,29006,45.584035,-122.703603,95171,24JAN2023:00:00:00,12.0,0.8
3232,244351018,244351104,29031,45.584048,-122.706755,95413,24JAN2023:00:00:00,12.0,0.7
3232,244351117,244351167,32539,45.507325,-122.676183,111160,24JAN2023:00:00:00,10.0,1.0
3232,244351334,244351380,44241,45.510922,-122.681785,180187,24JAN2023:00:00:00,12.0,1.8
3232,244351334,244351381,44341,45.510027,-122.678877,180445,24JAN2023:00:00:00,12.0,0.8
3232,244351334,244351383,44441,45.50736,-122.676233,180854,24JAN2023:00:00:00,10.0,0.7
3232,244351772,244351790,66610,45.583967,-122.697422,309910,24JAN2023:00:00:00,12.0,0.8
3232,244351772,244351791,66630,45.583765,-122.697153,309951,24JAN2023:00:00:00,12.0,1.0
3232,244351772,244351858,70026,45.386655,-122.640993,335759,24JAN2023:00:00:00,12.0,0.8
3232,244351872,244351904,73341,45.423702,-122.661083,352697,24JAN2023:00:00:00,12.0,0.9
3232,244351772,244351796,66825,45.573637,-122.695545,311176,24JAN2023:00:00:00,12.0,0.8
3232,244351772,244351860,70082,45.383285,-122.638758,336177,24JAN2023:00:00:00,9.0,0.9
3232,244351872,244351907,73416,45.433775,-122.654275,353927,24JAN2023:00:00:00,12.0,0.9
3232,244351872,244351906,73381,45.429208,-122.657763,353346,24JAN2023:00:00:00,10.0,1.3
3232,244350890,244350906,16692,45.580317,-122.717977,26634,24JAN2023:00:00:00,10.0,1.0
3232,244351018,244351049,26403,45.419322,-122.663378,73645,24JAN2023:00:00:00,11.0,0.8
3232,244351872,244351964,76436,45.584035,-122.706937,373919,24JAN2023:00:00:00,12.0,0.7
3232,244351872,244351966,76506,45.584068,-122.711137,374240,24JAN2023:00:00:00,12.0,1.3
3232,244351978,244351988,77977,45.515362,-122.818403,398432,24JAN2023:00:00:00,12.0,1.1
3232,244350890,244350897,15927,45.508655,-122.732782,12006,24JAN2023:00:00:00,10.0,0.9
3232,244350890,244350899,16117,45.525237,-122.68668,17124,24JAN2023:00:00:00,9.0,1.0
3232,244350911,244350943,19431,45.537925,-122.674673,37007,24JAN2023:00:00:00,12.0,0.7
3232,244350890,244350900,16287,45.562622,-122.678483,21571,24JAN2023:00:00:00,7.0,1.3
3232,244350890,244350901,16382,45.577273,-122.679488,23585,24JAN2023:00:00:00,7.0,1.3
3232,244351018,244351042,25982,45.409302,-122.660568,71305,24JAN2023:00:00:00,11.0,0.8
3232,244350911,244350949,19716,45.526207,-122.675575,38991,24JAN2023:00:00:00,12.0,0.9
3232,244350890,244350906,16622,45.577187,-122.70758,25747,24JAN2023:00:00:00,10.0,0.9
3232,244350890,244350904,16532,45.577178,-122.695823,24844,24JAN2023:00:00:00,11.0,0.8
4033,244247581,244247620,34610,45.496613,-122.622567,77635,24JAN2023:00:00:00,12.0,0.8
4033,244247581,244247626,34780,45.50404,-122.622588,78458,24JAN2023:00:00:00,12.0,0.6
4033,244247581,244247631,35025,45.512435,-122.622818,79386,24JAN2023:00:00:00,12.0,0.8
4033,244247581,244247631,35035,45.513162,-122.622887,79467,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247634,35210,45.519045,-122.622978,80124,24JAN2023:00:00:00,9.0,0.9
4033,244247581,244247706,38273,45.595803,-122.760365,100211,24JAN2023:00:00:00,10.0,0.8
4033,244247581,244247710,39317,45.602127,-122.762725,101002,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247710,39337,45.602127,-122.762725,101002,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247717,41445,45.592482,-122.757155,102479,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247720,41667,45.589083,-122.751263,103093,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247721,41725,45.589175,-122.747835,103378,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247721,41740,45.588807,-122.746388,103496,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247722,41760,45.58868,-122.74579,103546,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247820,46118,45.460412,-122.620505,128720,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247821,46148,45.46106,-122.62421,129020,24JAN2023:00:00:00,12.0,0.8
4033,244247712,244247821,46163,45.461872,-122.625675,129166,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247826,46333,45.45699,-122.629997,130135,24JAN2023:00:00:00,12.0,0.7
4033,244247581,244247626,34790,45.504515,-122.622583,78511,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247974,51967,45.583363,-122.726363,159364,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247977,52052,45.585088,-122.73107,159781,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247984,52287,45.589212,-122.747905,161168,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247980,52187,45.58737,-122.740122,160525,24JAN2023:00:00:00,12.0,0.7
4033,244247712,244247834,46578,45.446562,-122.632875,131521,24JAN2023:00:00:00,12.0,0.7
4033,244248167,244248170,63773,45.445603,-122.64077,195546,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247988,52537,45.594127,-122.758708,162277,24JAN2023:00:00:00,12.0,0.9
4033,244247839,244247988,52522,45.592948,-122.757537,162116,24JAN2023:00:00:00,12.0,0.9
4033,244247839,244247985,52387,45.589393,-122.752248,161525,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247986,52432,45.589867,-122.753678,161649,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247991,52632,45.601872,-122.763558,163224,24JAN2023:00:00:00,12.0,0.8
4033,244248167,244248170,63791,45.446095,-122.639522,195667,24JAN2023:00:00:00,11.0,0.9
4033,244247993,244248161,61683,45.446582,-122.631698,194525,24JAN2023:00:00:00,12.0,0.8
4033,244248167,244248170,63761,45.44559,-122.64101,195527,24JAN2023:00:00:00,12.0,1.2
4033,244248302,244248374,73239,45.577178,-122.665008,236331,24JAN2023:00:00:00,12.0,0.9
4033,244248302,244248382,73490,45.576697,-122.644898,238388,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248382,73505,45.57596,-122.64152,238663,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248389,73640,45.570335,-122.614717,240931,24JAN2023:00:00:00,12.0,0.9
4033,244248302,244248389,73645,45.570628,-122.61528,240985,24JAN2023:00:00:00,12.0,1.6
4033,244248302,244248389,73670,45.569988,-122.619505,241335,24JAN2023:00:00:00,12.0,1.0
4033,244248469,244248603,81657,45.577173,-122.684213,282133,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248624,82092,45.581902,-122.722365,285235,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248622,82012,45.580438,-122.718353,284880,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248621,81952,45.577308,-122.709577,284111,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248620,81917,45.577182,-122.705503,283791,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248620,81907,45.577182,-122.703873,283675,24JAN2023:00:00:00,12.0,0.9
4033,244248469,244248621,81977,45.578662,-122.713528,284455,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248621,81967,45.578067,-122.711937,284314,24JAN2023:00:00:00,12.0,0.8
4033,244248469,244248624,82097,45.582088,-122.722872,285280,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248627,82182,45.58437,-122.729117,285822,24JAN2023:00:00:00,12.0,0.7
4033,244247335,244247450,24961,45.589138,-122.751505,35101,24JAN2023:00:00:00,11.0,0.9
4033,244247335,244247451,25021,45.59007,-122.754382,35346,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247455,25180,45.599448,-122.762143,36580,24JAN2023:00:00:00,8.0,0.9
4033,244248469,244248627,82187,45.584492,-122.729458,285852,24JAN2023:00:00:00,12.0,0.8
4033,244248469,244248625,82157,45.583235,-122.726018,285559,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248625,82152,45.583007,-122.725398,285504,24JAN2023:00:00:00,12.0,0.7
4033,244247839,244247944,50932,45.57771,-122.648983,152717,24JAN2023:00:00:00,12.0,0.8
4033,244247839,244247945,51027,45.581053,-122.661287,153734,24JAN2023:00:00:00,12.0,0.8
4033,244247335,244247456,25216,45.60213,-122.762828,36929,24JAN2023:00:00:00,11.0,0.8
4033,244247335,244247456,25201,45.601633,-122.763443,36840,24JAN2023:00:00:00,9.0,0.8
4033,244247458,244247464,26888,45.589885,-122.753858,38805,24JAN2023:00:00:00,11.0,0.8
4033,244247993,244248126,60233,45.497812,-122.62271,186792,24JAN2023:00:00:00,12.0,0.8
4033,244247993,244248135,60723,45.480697,-122.622702,188696,24JAN2023:00:00:00,12.0,0.7
4033,244247993,244248137,60768,45.47913,-122.622535,188873,24JAN2023:00:00:00,12.0,0.9
4033,244247993,244248138,60833,45.479148,-122.619458,189113,24JAN2023:00:00:00,12.0,0.7
4033,244248302,244248304,71777,45.598625,-122.761653,227921,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248305,71797,45.596953,-122.760647,228123,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248306,71877,45.59312,-122.757793,228613,24JAN2023:00:00:00,11.0,0.9
4033,244248302,244248307,71922,45.592442,-122.757118,228705,24JAN2023:00:00:00,12.0,0.9
4033,244248302,244248308,71937,45.591462,-122.756167,228839,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248308,71947,45.590908,-122.755625,228913,24JAN2023:00:00:00,12.0,0.8
4033,244248302,244248308,71952,45.590665,-122.755388,228945,24JAN2023:00:00:00,12.0,0.9
4033,244248302,244248311,72067,45.589052,-122.751185,229320,24JAN2023:00:00:00,12.0,0.7
4033,244248302,244248313,72147,45.588142,-122.743515,229955,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248539,80492,45.542607,-122.619917,272439,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248540,80577,45.54698,-122.620773,273051,24JAN2023:00:00:00,12.0,0.8
4033,244248469,244248541,80597,45.548162,-122.620768,273182,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248543,80647,45.549145,-122.620372,273306,24JAN2023:00:00:00,12.0,0.7
4033,244248469,244248544,80677,45.551897,-122.620395,273613,24JAN2023:00:00:00,12.0,0.7
